iter	RMSE
349	79.65110275
350	79.64922422
351	79.64644329
352	79.64455106
353	79.64221314
354	79.63995133
355	79.63805811
356	79.63549578
357	79.6327986
358	79.63032339
359	79.62822214
360	79.62598471
361	79.6237948
362	79.62171349
363	79.61885903
364	79.616932
365	79.61452285
366	79.61285835
367	79.61106734
368	79.60892342
369	79.60685314
370	79.60495609
371	79.60288095
372	79.60074842
373	79.59882099
374	79.59734469
375	79.59541529
376	79.59265625
377	79.59088079
378	79.58908746
379	79.58758509
380	79.58567097
381	79.58353532
382	79.58128467
383	79.57966863
384	79.57823659
385	79.57684806
386	79.57488707
387	79.57268187
388	79.5712776
389	79.56917193
390	79.56698912
391	79.56428812
392	79.56211931
393	79.56027121
394	79.55878539
395	79.5569155
396	79.554969
397	79.55306674
398	79.55124856
399	79.54907
400	79.54716991
401	79.54556513
402	79.54353209
403	79.54123909
404	79.53892543
405	79.53731123
406	79.53547556
407	79.53361964
408	79.53219767
409	79.52984871
410	79.52817432
